City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Cherat,PK,33.8233,71.8915,76.91,61,60,3.96,broken clouds
183,Saldanha,ZA,-33.0117,17.9442,46.45,88,71,8.93,broken clouds
184,San Jeronimo,PE,-11.9472,-75.2829,55.06,53,92,6.29,overcast clouds
185,Pyaozerskiy,RU,65.8333,31.1667,55.74,93,100,4.25,overcast clouds
186,Vanersborg,SE,58.3807,12.3234,56.66,92,75,5.75,broken clouds
187,Pemangkat,ID,1.1667,108.9667,78.93,86,98,7.92,overcast clouds
188,Port Elizabeth,ZA,-33.918,25.5701,61.09,72,75,29.93,broken clouds
189,Vysokogornyy,RU,50.1167,139.15,63.39,84,87,2.89,overcast clouds
190,Barrow,US,71.2906,-156.7887,51.82,79,90,19.57,overcast clouds
191,Iralaya,HN,15.0,-83.2333,86.09,77,18,10.45,few clouds
192,Kupang,ID,-10.1667,123.5833,75.78,88,20,6.91,few clouds
193,Morro Bay,US,35.3658,-120.8499,93.38,58,17,8.01,few clouds
194,Kalmunai,LK,7.4167,81.8167,80.47,74,100,3.09,overcast clouds
195,Mumford,GH,5.2618,-0.759,75.13,92,36,6.71,scattered clouds
196,Canakkale,TR,40.0833,26.8333,77.61,46,0,3.85,clear sky
197,Cherskiy,RU,68.75,161.3,36.93,82,97,18.99,overcast clouds
198,Port Hardy,CA,50.6996,-127.4199,64.58,77,20,13.8,few clouds
199,Abu Dhabi,AE,24.4667,54.3667,91.51,66,0,4.61,clear sky
200,Kavaratti,IN,10.5669,72.642,82.08,77,77,15.86,broken clouds
201,Calama,CL,-22.4667,-68.9333,66.69,15,93,17.27,overcast clouds
202,Lorengau,PG,-2.0226,147.2712,84.27,73,35,11.03,scattered clouds
203,Dromolaxia,CY,34.8761,33.586,85.68,45,0,6.91,clear sky
204,Prince George,CA,53.9166,-122.753,76.44,60,1,3.44,haze
205,Pinheiro Machado,BR,-31.5783,-53.3811,44.06,96,0,3.69,clear sky
206,Qaanaaq,GL,77.484,-69.3632,42.93,82,89,1.1,overcast clouds
207,Suluq,LY,31.6682,20.2521,83.55,43,0,8.14,clear sky
208,Kiama,AU,-34.6833,150.8667,53.01,88,6,4.16,clear sky
209,Dongsheng,CN,39.8161,109.9776,60.3,63,17,9.73,few clouds
210,College,US,64.8569,-147.8028,77.32,53,75,0.0,broken clouds
211,Nishihara,JP,26.1842,127.7558,82.06,89,75,18.41,broken clouds
212,Torbay,CA,47.6666,-52.7314,67.68,69,40,14.97,scattered clouds
213,Boende,CD,-0.2167,20.8667,73.45,75,100,3.06,overcast clouds
214,Tucurui,BR,-3.7661,-49.6725,83.5,49,78,2.21,broken clouds
215,Husavik,IS,66.0449,-17.3389,53.51,73,59,2.15,broken clouds
216,Humaita,BR,-7.5061,-63.0208,85.33,35,5,3.2,clear sky
217,Birsk,RU,55.4211,55.5428,62.89,70,99,1.79,overcast clouds
218,Avera,US,33.194,-82.5271,96.91,37,51,13.51,broken clouds
219,Pevek,RU,69.7008,170.3133,33.46,97,100,14.38,overcast clouds
220,Hualmay,PE,-11.0964,-77.6139,66.33,76,11,9.4,few clouds
221,Provideniya,RU,64.3833,-173.3,42.91,75,90,20.13,light rain
