City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
512,Sur,OM,89.64,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
513,Makat,KZ,87.66,clear sky,47.6469,53.3463,Umit
515,Teahupoo,PF,75.16,scattered clouds,-17.8333,-149.2667,Vanira Lodge
517,Fare,PF,77.05,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
526,Tautira,PF,80.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
528,Clarksburg,US,82.51,few clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
529,Teknaf,BD,78.31,overcast clouds,20.8624,92.3058,Forestry Guesthouse
535,La Ronge,CA,86.25,smoke,55.1001,-105.2842,Northland Motor Hotel
536,Fort Nelson,CA,89.19,smoke,58.8053,-122.7002,The Fort Nelson Hotel
539,Riachao Das Neves,BR,75.15,broken clouds,-11.7461,-44.91,Casa Costa
540,Bubaque,GW,79.65,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
542,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
547,Ghatampur,IN,77.41,overcast clouds,26.1667,80.1667,OYO 46903 Hotel Sai Palace
548,Dauphin,CA,80.74,haze,51.1494,-100.0502,Canway Inn & Suites
550,Tuxpan,MX,80.37,few clouds,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
551,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
555,Saint Anthony,US,80.94,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
557,Bandarbeyla,SO,82.24,few clouds,9.4942,50.8122,JABIR HOTEL
558,Navrongo,GH,78.98,broken clouds,10.8956,-1.0921,Azakka Hotel
560,Semporna,MY,77.2,heavy intensity rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
561,Canazas,PA,79.41,overcast clouds,8.3167,-81.2167,HACIENDA LOS DIAZ
562,Miracema Do Tocantins,BR,83.71,few clouds,-9.5618,-48.3967,Miami Apart Hotel
565,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
566,Nabire,ID,75.56,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
568,Niamey,NE,84.49,thunderstorm,13.5137,2.1098,Soluxe Hotel Niamey
569,Vega De Alatorre,MX,85.68,scattered clouds,20.0333,-96.6333,El Polo Norte
571,Ajdabiya,LY,82.45,clear sky,30.7554,20.2263,Almadina Hotel
572,Gizo,SB,80.4,light rain,-8.103,156.8419,Imagination Island
573,Cocobeach,GA,78.73,moderate rain,1.0002,9.5823,Hotel Esperance
575,Pekan,MY,77.11,broken clouds,3.4836,103.3996,Pekan Budget Hotel
576,San Policarpo,PH,82.74,overcast clouds,12.1791,125.5072,JM Lodge
579,Rivers,CA,77.95,clear sky,50.0308,-100.2403,Blue Crescent Hotels
580,Shingu,JP,81.91,broken clouds,33.7333,135.9833,Shingu UI Hotel
581,Rio Verde De Mato Grosso,BR,75.83,few clouds,-18.9181,-54.8442,Hotel Valência
584,Anori,BR,82.24,scattered clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
585,Napasar,IN,84.6,overcast clouds,27.9667,73.55,Laxmi Palace
586,Namatanai,PG,80.94,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
587,Crotone,IT,85.95,clear sky,39.0851,17.1178,Helios Hotel
593,Iracoubo,GF,78.98,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
595,Sri Aman,MY,75.25,light rain,1.2376,111.4621,Seri Simanggang Hotel
597,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
598,Gallup,US,75.04,broken clouds,35.5281,-108.7426,El Capitan Motel
607,Tabou,CI,76.6,overcast clouds,4.423,-7.3528,hotêl doufoulougou
608,Shahr-E Babak,IR,78.13,scattered clouds,30.1165,55.1186,Duna Ecolodge
609,Fatehpur Chaurasi,IN,78.85,overcast clouds,26.7833,80.2667,Rohit
611,Lufilufi,WS,80.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
614,Westport,US,75.85,overcast clouds,41.1415,-73.3579,The Westport Inn
615,Karaton,ID,77.95,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
618,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
626,Harper,LR,76.41,broken clouds,4.375,-7.7169,Screensaver
627,Eyl,SO,82.26,scattered clouds,7.9803,49.8164,Amiin Hotel
630,Durham,US,88.86,broken clouds,36.0335,-78.8664,Hampton Inn & Suites Durham/North I-85
633,Alugan,PH,82.58,overcast clouds,12.2188,125.4808,JM Lodge
635,Sol-Iletsk,RU,76.08,few clouds,51.1631,54.9918,Raduzhnaya
637,Bafq,IR,85.64,scattered clouds,31.6128,55.4107,Alamdar Hotel
640,Camocim,BR,79.18,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
641,Beruwala,LK,78.49,overcast clouds,6.4788,79.9828,The Palms Hotel
642,Natal,BR,79.45,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
643,Conakry,GN,77.81,light rain,9.538,-13.6773,Riviera Royal Hotel
644,Marsa Matruh,EG,80.8,clear sky,31.3525,27.2453,Beau Site
645,Muli,MV,82.45,moderate rain,2.9167,73.5667,Medhufushi Island Resort
647,Vaitape,PF,77.72,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
653,Ugoofaaru,MV,82.62,overcast clouds,5.6667,73.0,Ungoofaaru Inn
655,Greensboro,US,85.82,broken clouds,36.0726,-79.792,Marriott Greensboro Downtown
658,Acarau,BR,78.46,broken clouds,-2.8856,-40.12,castelo pizzaria
663,Sao Gabriel Da Cachoeira,BR,78.98,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
